RowID|BrandFit|AngleGap|Asset|DistinctAngle|Notes
1563|SKIP|||  |SKIP — email to previous candidates about new job; CRM/talent pool outreach template, off-brand
1565|TRANSPLANT|Sample question bank (Likert + open) for recruitment satisfaction surveys — no post-assessment-specific questions, no benchmark data, no scoring guide|Post-Assessment Candidate Feedback Survey: Question Bank + Scoring Benchmarks + What Good Looks Like|transplants the survey-question-bank format; focuses on the assessment touchpoint specifically — questions about test clarity, time fairness, feedback quality, plus benchmark response-rate data; this page has generic recruitment questions, none assessment-specific|transplanted from: recruitment satisfaction survey questions
1566|SKIP|||  |SKIP — candidate persona definition; sourcing/marketing persona framework, off-brand
1567|SKIP|||  |SKIP — flexible work arrangements definition; HR-ops/workplace policy, off-brand
1568|CORE|One-paragraph definition of yield ratio with a single example — no benchmark data by sourcing channel, no assessment-funnel application, no calculator|Hiring Funnel Yield Ratio Calculator + Benchmarks by Stage (Application → Screen → Assessment → Offer)|takes the definition and builds it into a working calculator with benchmark yield ratios for each hiring funnel stage including the assessment stage — this page only defines the metric with one generic example|
1569|CORE|Infographic listing 6 metric categories with bullet-point definitions — no benchmark data, no downloadable framework, no assessment-quality metrics included|The Hiring Metrics Master Guide: 20 KPIs With Benchmarks, Formulas, and Assessment-Quality Tracking|keeps the categorised-list format but replaces bullets with full formulas, benchmark ranges, and a dedicated section on assessment-quality metrics (pass rate, score distribution, predictive validity) that this page omits entirely|
1570|SKIP|||  |SKIP — thin 2016 article on finding and hiring ideal candidates; ~400 words, largely generic; off-brand engagement/sourcing topic
1571|SKIP|||  |SKIP — employee recognition and satisfaction; post-hire retention topic, off-brand
1572|ADJACENT|5 candidate experience statistics from a 2020 report (Talent Board + IBM) — data is 6 years stale, infographic format, no assessment-stage breakdown|2025 Candidate Experience Benchmark Report: Assessment-Stage Drop-Off Rates, Feedback Expectations, and What Candidates Actually Want|keeps the statistics-hub + infographic format; refreshes with current data and adds an assessment-stage breakdown (the gap in every existing CandE study) — this page is stale 2020 data with no assessment dimension|
1573|SKIP|||  |SKIP — recruiting and hiring in healthcare; niche-sourcing vertical with no assessment depth, off-brand
1574|ADJACENT|15 recruiting trends for 2021 — structured interviews (#14) and data-driven recruiting (#10) mentioned briefly, no depth on skills assessment, page is now stale (2021 trends in 2026)|2026 State of Skills-Based Hiring: The Trends Replacing Gut-Feel Recruiting (Data + Benchmarks)|keeps the numbered-trends-with-context format; centres the 2026 picture around skills-based hiring, AI interviews, and assessment data — this page is a 2021 list with no current data and no assessment focus|
1579|SKIP|||  |SKIP — flexible working hours definition; HR-ops/workplace policy, off-brand
1580|SKIP|||  |SKIP — inbound recruiting definition; sourcing/marketing methodology, off-brand
1583|SKIP|||  |SKIP — candidate journey mapping guide; recruitment marketing / sourcing funnel topic, off-brand
1584|SKIP|||  |SKIP — perfect career site anatomy; employer branding / career-site design, off-brand
1585|SKIP|||  |SKIP — pros and cons of full-time vs part-time vs freelance hiring; employment type / HR-ops decision, off-brand
1586|SKIP|||  |SKIP — promoting company culture to attract talent; employer branding topic, off-brand
1590|TRANSPLANT|Candidate experience survey questions (Likert + open) — framed for recruiter experience only, no assessment-specific questions, no scoring guidance, no benchmark data|Post-Assessment Candidate Survey Toolkit: Assessment-Specific Questions + Scoring + Drop-Off Benchmarks|transplants the survey question-bank format; focuses on the assessment touchpoint — question sets for test clarity, fairness perception, time pressure, and feedback quality, plus benchmark completion/drop-off data; this page has no assessment-specific questions at all|transplanted from: candidate experience survey questions
1591|SKIP|||  |SKIP — employee onboarding survey questions; post-hire onboarding/L&D topic, off-brand
1592|SKIP|||  |SKIP — post-interview rejection email template; outreach email template for rejections, off-brand
1595|CORE|~250 words, definition only — no cognitive assessment examples, no test-design tips, no benchmark on how analytical thinking tests predict job performance|Analytical Thinking in Hiring: What It Is + How to Assess It + Sample Questions and Score Benchmarks|keeps the glossary entry format; adds sample assessment questions, a scoring rubric, and published data on how analytical thinking scores correlate with on-the-job performance — this page is a bare definition with nothing actionable|
1596|CORE|~300 words, definition of behavioural-based interview with benefits — no sample STAR-format question bank by competency, no scorecard, no comparison to skills tests for the same competencies|Behavioural Interview Question Bank + Competency Scorecard (STAR Format) + When to Use vs. Skills Tests|keeps the glossary-with-benefits format; adds 40+ STAR-format questions organised by competency and a scoring rubric, plus a decision guide for when to use behavioural interviews vs. skills tests — this page has a definition and two paragraphs of benefits with no tools|
1597|SKIP|||  |SKIP — employer branding definition and strategy; off-brand (brand/marketing, not assessment)
1598|SKIP|||  |SKIP — recruitment content ideas and marketing tips; recruitment marketing strategy, off-brand
1599|SKIP|||  |SKIP — employee onboarding ideas and examples; post-hire onboarding topic, off-brand
1601|SKIP|||  |SKIP — guide to choosing a recruitment agency; agency/sourcing mechanics, off-brand
1603|SKIP|||  |SKIP — boolean search guide for recruiters; sourcing/search tactics, off-brand
1604|SKIP|||  |SKIP — COVID-19 impact on recruitment; dated news analysis (2020), off-brand
1605|SKIP|||  |SKIP — employee referral program rationale; sourcing channel topic, off-brand
1606|SKIP|||  |SKIP — employer branding ideas (Facebook/HubSpot examples); employer branding/sourcing, off-brand
1607|SKIP|||  |SKIP — recruitment marketing software overview; ATS/CRM product category, off-brand
1611|ADJACENT|~300 words, definition of candidate engagement — no data on how assessment experience drives engagement scores, no benchmark, no actionable framework|Assessment Experience and Candidate Engagement: How Test Design Affects Offer Acceptance Rates (With Data)|keeps the definition-with-importance format; adds research linking assessment UX to candidate engagement scores and offer acceptance rates — the dimension this page completely ignores|
1612|SKIP|||  |SKIP — full lifecycle recruiting definition; broad sourcing/process definition, off-brand
1613|SKIP|||  |SKIP — recruitment content for every candidate journey stage; recruitment marketing content planning, off-brand
1615|SKIP|||  |SKIP — how to create recruitment videos; employer branding/media production, off-brand
1616|TRANSPLANT|10 skills to look for in remote candidates — framed as an opinion list with no test-type mapping, no assessment examples, no scoring rubric, no data on which traits predict remote-work success|Remote Worker Skills Assessment Guide: The 10 Traits That Predict Success + How to Test Each One|transplants the numbered-skills-list format; adds a specific assessment method for each trait (cognitive test, scenario test, situational judgement), scoring benchmarks, and published data on remote performance predictors — this page is an opinion list with nothing to test against|transplanted from: skills to look for in remote employees
1618|SKIP|||  |SKIP — ATS benefits and how ATS improves hiring metrics; ATS product-category content, off-brand
